ano;UF;VD3004;escolaridade;VD4014;faixa_horas_trabalhadas;V403312;se
2024;27;3;Ensino Fundamental;1;Até 14 Horas;1066,254858122672;5,18967704158323e+02
2024;28;3;Ensino Fundamental;1;Até 14 Horas;763,953721461478;1,70767921082176e+02
2024;29;3;Ensino Fundamental;1;Até 14 Horas;817,988686157390;1,29737170109305e+02
2024;31;3;Ensino Fundamental;1;Até 14 Horas;1418,181292119306;1,86239866443615e+02
2024;32;3;Ensino Fundamental;1;Até 14 Horas;842,397241309613;1,84197141733902e+02
2024;33;3;Ensino Fundamental;1;Até 14 Horas;1050,275001309979;1,98237213182048e+02
2024;35;3;Ensino Fundamental;1;Até 14 Horas;1196,358349145336;1,11055204873738e+02
2024;41;3;Ensino Fundamental;1;Até 14 Horas;1851,319084076139;4,40601059349669e+02
2024;42;3;Ensino Fundamental;1;Até 14 Horas;1527,083448383999;1,84089837643214e+02
2024;43;3;Ensino Fundamental;1;Até 14 Horas;1336,514932382000;1,24139849488526e+02
2024;50;3;Ensino Fundamental;1;Até 14 Horas;1270,500319989230;2,00041773736062e+02
2024;51;3;Ensino Fundamental;1;Até 14 Horas;1258,246791400863;2,13403959287030e+02
2024;52;3;Ensino Fundamental;1;Até 14 Horas;820,426423441568;2,61917841407348e+02
2024;53;3;Ensino Fundamental;1;Até 14 Horas;1327,507163035653;3,09507274651883e+02
2024;11;4;Ensino Médio;1;Até 14 Horas;988,542933967735;3,44738659387121e+02
2024;12;4;Ensino Médio;1;Até 14 Horas;751,064487031875;2,39354772886509e+02
2024;13;4;Ensino Médio;1;Até 14 Horas;339,335042043239;6,38660134409249e+01
2024;14;4;Ensino Médio;1;Até 14 Horas;930,788488485647;2,29052261700324e+02
2024;15;4;Ensino Médio;1;Até 14 Horas;1183,737306658650;4,40994268012873e+02
2024;16;4;Ensino Médio;1;Até 14 Horas;735,931005440931;3,63775017700842e+02
2024;17;4;Ensino Médio;1;Até 14 Horas;1237,037429182887;3,51998038467434e+02
2024;21;4;Ensino Médio;1;Até 14 Horas;736,617486432863;1,80864677890005e+02
2024;22;4;Ensino Médio;1;Até 14 Horas;780,072043579374;1,69984864326985e+02
2024;23;4;Ensino Médio;1;Até 14 Horas;521,195349801375;1,03315084098172e+02
2024;24;4;Ensino Médio;1;Até 14 Horas;1210,591843564727;4,79856495096454e+02
2024;25;4;Ensino Médio;1;Até 14 Horas;606,346671728051;1,25743889645668e+02
2024;26;4;Ensino Médio;1;Até 14 Horas;534,402398815228;1,01520514219753e+02
2024;27;4;Ensino Médio;1;Até 14 Horas;383,473688987121;6,36042636936457e+01
2024;28;4;Ensino Médio;1;Até 14 Horas;725,896069807962;9,85494186225429e+01
2024;29;4;Ensino Médio;1;Até 14 Horas;468,545669253649;6,50918014800490e+01
2024;31;4;Ensino Médio;1;Até 14 Horas;1119,385286748511;1,23540280237286e+02
2024;32;4;Ensino Médio;1;Até 14 Horas;1523,686055126743;5,87327552308609e+02
2024;33;4;Ensino Médio;1;Até 14 Horas;755,242293463176;9,42885940904424e+01
2024;35;4;Ensino Médio;1;Até 14 Horas;1146,485987473515;1,13022231972813e+02
2024;41;4;Ensino Médio;1;Até 14 Horas;2164,807435588707;8,94773176021525e+02
2024;42;4;Ensino Médio;1;Até 14 Horas;1336,045102312512;1,86041395130001e+02
