ano;UF;VD3004;escolaridade;V403312_1_Até 14 Horas;V403312_2_15 até 39 Horas;V403312_3_40 até 44 Horas;V403312_4_44 até 48 Horas;V403312_5_49 Horas +;se_1_Até 14 Horas;se_2_15 até 39 Horas;se_3_40 até 44 Horas;se_4_44 até 48 Horas;se_5_49 Horas +
2024;13;2;Ensino Fundamental;645,204649082499;869,632936638131;1379,138363461540;1601,122688220093;1509,111578360395;1,16294365757275e+02;45,7024673640327;58,0463761850671;131,3731687554510;2,19493153618735e+02
2024;14;2;Ensino Fundamental;692,503551501613;1871,235009679687;1590,716002924940;2150,336387976763;2173,009524162326;2,03026206032736e+02;596,8636555555726;79,9811777309172;352,0675626066128;3,13698386398374e+02
2024;15;2;Ensino Fundamental;636,904292213654;1040,118848930385;1488,529562585981;1799,066035955851;1838,290214977957;6,47849356722608e+01;47,3659417455817;64,1455558293682;152,5185926485574;1,99302973713850e+02
2024;16;2;Ensino Fundamental;845,711633056612;1046,842390697138;1682,360569435936;1859,865328125025;1613,205801829647;3,90350166585756e+02;89,6227138165063;145,6764361972871;248,8850507397270;2,55563919484324e+02
2024;17;2;Ensino Fundamental;908,197902843989;1152,767720888731;2027,015032233522;3023,630392497427;3444,588507318647;1,44588837495746e+02;153,7503060383873;160,6444619996996;560,4463083305118;1,00471857102714e+03
2024;21;2;Ensino Fundamental;624,784076091065;769,959347364556;1605,225848018887;1482,359574401557;1671,085439755750;8,75971268597914e+01;37,3376667900669;263,7444095913478;201,1571493432792;2,10267727710470e+02
2024;22;2;Ensino Fundamental;428,948325008984;908,685552258712;1357,327051349169;1384,591014984089;1515,183896849623;4,57954693424061e+01;88,0183691782145;62,2381715366901;95,9950784186928;1,41903941998568e+02
2024;23;2;Ensino Fundamental;577,591457096130;738,309200880661;1257,257246040011;1416,010793486592;1446,157327400030;7,17038067740001e+01;40,0423035624841;31,5457121919707;92,1961247776496;9,88476226073214e+01
2024;24;2;Ensino Fundamental;708,702156224647;837,277764285591;1427,572715404403;1627,992450027891;1540,188995904939;1,16958712053206e+02;58,4357077900094;87,6990596058986;131,0099689651806;1,34190596622078e+02
2024;25;2;Ensino Fundamental;555,783848779190;781,873440561834;1305,549889702417;1396,464824194402;1556,269416802405;5,77343818533363e+01;38,2500762774207;41,2476230357174;96,3187425243399;1,27772709974042e+02
2024;26;2;Ensino Fundamental;605,477036180957;859,334130721272;1368,179072272428;1485,295667370235;1739,499255397165;6,31396672538375e+01;46,5192932376078;49,8785601720965;109,4326052338190;1,60516050966883e+02
2024;27;2;Ensino Fundamental;876,293550758159;1065,628626162021;1506,698053775800;1444,600868301648;2394,781725794893;8,03501180924542e+01;121,1415404942586;60,1854793441289;41,9836601656974;6,91262256209401e+02
2024;28;2;Ensino Fundamental;713,361908244266;890,898411929078;1609,365969408666;1354,034023515573;1572,504155209485;1,29636563165336e+02;45,4973767746090;118,8558555137613;109,4881158408153;1,36141596330616e+02
2024;29;2;Ensino Fundamental;765,295648416960;949,901261126301;1398,908312245743;1780,518488947265;1546,090204769068;1,56888875335010e+02;70,0499894604677;41,9466457310437;217,1518506841806;1,73837167524885e+02
2024;31;2;Ensino Fundamental;1124,012210686482;1375,926204430108;2040,732761964085;2022,546140232113;2344,211665864585;8,16772570551179e+01;46,6513617706777;44,3235123242824;96,8025500849882;1,12368275506041e+02
2024;32;2;Ensino Fundamental;1096,823504112951;1407,870159614293;1918,160045592184;2068,078504544613;2387,332309462955;1,45760482514454e+02;102,7832102024212;49,8996274233226;145,5668615108314;1,72151454926975e+02
2024;33;2;Ensino Fundamental;1054,479328305583;1271,787185618787;1828,373308169862;1892,170696207480;1968,758025515815;1,74552380568183e+02;55,7175455418651;56,8297548014805;70,0772532006848;1,00675967501799e+02
2024;35;2;Ensino Fundamental;1423,324021575138;1523,122495531377;2218,416872342504;2784,656636868981;3078,821028553893;2,39748841757840e+02;62,6739831872811;65,5591300407905;538,3453682480023;5,05443649587084e+02
2024;41;2;Ensino Fundamental;1278,265697506598;1557,634652202484;2254,254179674547;2569,566273280638;3339,411170891558;1,05491774700577e+02;143,5392840516294;54,6417463488616;128,3224056021974;3,74654305055201e+02
2024;42;2;Ensino Fundamental;1734,062270852138;1735,155741344658;2510,330681574383;2525,646144478807;3452,063095536913;2,41745403841392e+02;173,2544212263689;57,2545455487414;122,8172993498742;3,43106628929163e+02
2024;43;2;Ensino Fundamental;1114,783921258896;1513,610301648435;2136,524440499752;2491,803522362936;2940,983088942575;7,82206343528936e+01;87,1165292352670;62,4454639252402;251,7110008192948;1,62992631162355e+02
