ano;UF;VD3004;escolaridade;VD4014;faixa_horas_trabalhadas;V403312;se
2022;11;1;Sem Instrução Formal;1;Até 14 Horas;1640,045270351038;5,40824823288153e+02
2022;12;1;Sem Instrução Formal;1;Até 14 Horas;830,848659102049;3,37257706555403e+02
2022;13;1;Sem Instrução Formal;1;Até 14 Horas;1041,980643512549;2,40188463832864e+02
2022;14;1;Sem Instrução Formal;1;Até 14 Horas;100,000000000000;5,51765178008892e-15
2022;15;1;Sem Instrução Formal;1;Até 14 Horas;804,171325435110;1,74459992101868e+02
2022;16;1;Sem Instrução Formal;1;Até 14 Horas;558,773108964933;1,47155977514817e+02
2022;17;1;Sem Instrução Formal;1;Até 14 Horas;601,459723191205;1,51207355460684e+02
2022;21;1;Sem Instrução Formal;1;Até 14 Horas;472,239710523925;8,76859508654272e+01
2022;22;1;Sem Instrução Formal;1;Até 14 Horas;277,005868242690;3,84077559216692e+01
2022;23;1;Sem Instrução Formal;1;Até 14 Horas;300,390309065857;4,33088347871215e+01
2022;24;1;Sem Instrução Formal;1;Até 14 Horas;553,177647099691;1,33521966028411e+02
2022;25;1;Sem Instrução Formal;1;Até 14 Horas;332,763300792182;1,13883601306844e+02
2022;26;1;Sem Instrução Formal;1;Até 14 Horas;384,230811866474;6,15246945506914e+01
2022;27;1;Sem Instrução Formal;1;Até 14 Horas;424,565620706734;9,35089994923353e+01
2022;28;1;Sem Instrução Formal;1;Até 14 Horas;296,988972953612;4,46680872171742e+01
2022;29;1;Sem Instrução Formal;1;Até 14 Horas;382,947200895133;8,67244137987635e+01
2022;31;1;Sem Instrução Formal;1;Até 14 Horas;816,509785765748;2,47460071432250e+02
2022;32;1;Sem Instrução Formal;1;Até 14 Horas;673,613854138940;1,51964009633589e+02
2022;33;1;Sem Instrução Formal;1;Até 14 Horas;1687,828854587043;8,68111857329399e+02
2022;35;1;Sem Instrução Formal;1;Até 14 Horas;1182,486965984144;2,28007066139822e+02
2022;41;1;Sem Instrução Formal;1;Até 14 Horas;793,884103923497;3,47713235835352e+02
2022;42;1;Sem Instrução Formal;1;Até 14 Horas;680,958405278744;3,09603941874840e+02
2022;43;1;Sem Instrução Formal;1;Até 14 Horas;553,533547070437;2,07416563808541e+02
2022;50;1;Sem Instrução Formal;1;Até 14 Horas;669,234124131451;2,65675452017120e+02
2022;51;1;Sem Instrução Formal;1;Até 14 Horas;1093,998561386428;2,23872994193151e+02
2022;52;1;Sem Instrução Formal;1;Até 14 Horas;460,920839682824;2,58241238567866e+02
2022;53;1;Sem Instrução Formal;1;Até 14 Horas;999,558119952162;4,35029087174666e+02
2022;11;2;Ensino Fundamental;1;Até 14 Horas;1671,611530588270;2,28168375127950e+02
2022;12;2;Ensino Fundamental;1;Até 14 Horas;1493,619262559105;3,62523452276578e+02
2022;13;2;Ensino Fundamental;1;Até 14 Horas;742,388953615883;1,67142866260945e+02
2022;14;2;Ensino Fundamental;1;Até 14 Horas;1513,219631075910;6,11079597545613e+02
2022;15;2;Ensino Fundamental;1;Até 14 Horas;703,168818989126;6,66222347771571e+01
2022;16;2;Ensino Fundamental;1;Até 14 Horas;870,552744912770;5,35465465076369e+02
2022;17;2;Ensino Fundamental;1;Até 14 Horas;741,412297347962;1,33111630949074e+02
2022;21;2;Ensino Fundamental;1;Até 14 Horas;532,723029368500;5,96969671467800e+01
2022;22;2;Ensino Fundamental;1;Até 14 Horas;347,381501896173;4,30374852976255e+01
2022;23;2;Ensino Fundamental;1;Até 14 Horas;510,251093882930;6,75174932645442e+01
2022;24;2;Ensino Fundamental;1;Até 14 Horas;510,941195807302;5,69175056195320e+01
2022;25;2;Ensino Fundamental;1;Até 14 Horas;398,363759727217;4,54587288526299e+01
2022;26;2;Ensino Fundamental;1;Até 14 Horas;506,973413384097;5,21665557853068e+01
2022;27;2;Ensino Fundamental;1;Até 14 Horas;642,890214478987;1,14610095492880e+02
2022;28;2;Ensino Fundamental;1;Até 14 Horas;467,733789911525;7,39852738695413e+01
2022;29;2;Ensino Fundamental;1;Até 14 Horas;471,130354357669;3,80703183745255e+01
2022;31;2;Ensino Fundamental;1;Até 14 Horas;966,738938011858;7,43607454409228e+01
2022;32;2;Ensino Fundamental;1;Até 14 Horas;1045,943594427139;1,15460049527451e+02
2022;33;2;Ensino Fundamental;1;Até 14 Horas;892,368535501758;7,83542833001278e+01
2022;35;2;Ensino Fundamental;1;Até 14 Horas;1031,481090122233;9,14774726190815e+01
2022;41;2;Ensino Fundamental;1;Até 14 Horas;1404,879019687274;2,36209246194561e+02
2022;42;2;Ensino Fundamental;1;Até 14 Horas;1586,922282742011;1,48877028908202e+02
2022;43;2;Ensino Fundamental;1;Até 14 Horas;1571,316042847562;2,54614952003344e+02
2022;50;2;Ensino Fundamental;1;Até 14 Horas;1096,511896677980;1,40571901667852e+02
2022;51;2;Ensino Fundamental;1;Até 14 Horas;1064,622665697465;1,32935320251810e+02
2022;52;2;Ensino Fundamental;1;Até 14 Horas;1012,998910874154;1,01295604504768e+02
2022;53;2;Ensino Fundamental;1;Até 14 Horas;901,330422985943;1,42420083145603e+02
2022;11;3;Ensino Fundamental;1;Até 14 Horas;1015,513596645268;3,29152481835774e+02
2022;12;3;Ensino Fundamental;1;Até 14 Horas;841,348043575017;2,36953136481816e+02
2022;13;3;Ensino Fundamental;1;Até 14 Horas;563,638392373317;1,38583149732049e+02
2022;14;3;Ensino Fundamental;1;Até 14 Horas;549,156447913207;1,87865707045659e+02
2022;15;3;Ensino Fundamental;1;Até 14 Horas;645,145201831040;1,10648358771202e+02
2022;16;3;Ensino Fundamental;1;Até 14 Horas;450,000000000000;1,80205752527695e-14
2022;17;3;Ensino Fundamental;1;Até 14 Horas;994,529830171138;4,16911084306033e+02
2022;21;3;Ensino Fundamental;1;Até 14 Horas;539,345865235356;1,46547863776497e+02
2022;22;3;Ensino Fundamental;1;Até 14 Horas;527,294078214705;1,32550628185043e+02
2022;23;3;Ensino Fundamental;1;Até 14 Horas;511,564667597539;6,38660409441925e+01
2022;24;3;Ensino Fundamental;1;Até 14 Horas;680,251992603748;1,13594063388787e+02
2022;25;3;Ensino Fundamental;1;Até 14 Horas;1365,897301518458;5,51073662248296e+02
2022;26;3;Ensino Fundamental;1;Até 14 Horas;569,895680784104;1,31219285424192e+02
2022;27;3;Ensino Fundamental;1;Até 14 Horas;621,434851237262;1,17040863963743e+02
2022;28;3;Ensino Fundamental;1;Até 14 Horas;414,778264213822;6,79549467214342e+01
2022;29;3;Ensino Fundamental;1;Até 14 Horas;646,022622976222;1,10485828367584e+02
2022;31;3;Ensino Fundamental;1;Até 14 Horas;1120,820311504139;1,34130655999680e+02
2022;32;3;Ensino Fundamental;1;Até 14 Horas;1234,566178998014;2,72431010727981e+02
2022;33;3;Ensino Fundamental;1;Até 14 Horas;998,960655087058;1,18553480497395e+02
2022;35;3;Ensino Fundamental;1;Até 14 Horas;1069,958280530509;1,64593899723927e+02
2022;41;3;Ensino Fundamental;1;Até 14 Horas;1395,263291442430;1,64854455142659e+02
2022;42;3;Ensino Fundamental;1;Até 14 Horas;1477,815871023464;1,71182709049941e+02
2022;43;3;Ensino Fundamental;1;Até 14 Horas;1337,126671169759;1,86756315290485e+02
2022;50;3;Ensino Fundamental;1;Até 14 Horas;1976,069203228811;6,95268301457265e+02
2022;51;3;Ensino Fundamental;1;Até 14 Horas;2759,367358348936;1,30096862320428e+03
2022;52;3;Ensino Fundamental;1;Até 14 Horas;798,758207065799;1,74448262105999e+02
2022;53;3;Ensino Fundamental;1;Até 14 Horas;1178,076129387982;1,76260889210629e+02
2022;11;4;Ensino Médio;1;Até 14 Horas;785,432432622660;3,44886820378018e+02
2022;12;4;Ensino Médio;1;Até 14 Horas;852,325276473460;2,70250219603845e+02
2022;13;4;Ensino Médio;1;Até 14 Horas;515,102131395278;1,23051986425464e+02
2022;14;4;Ensino Médio;1;Até 14 Horas;990,052417657093;2,23836443706622e+02
2022;15;4;Ensino Médio;1;Até 14 Horas;608,569189762649;9,25977527178889e+01
2022;16;4;Ensino Médio;1;Até 14 Horas;1101,843314069028;4,84902142444971e+02
2022;17;4;Ensino Médio;1;Até 14 Horas;1013,812720503573;2,75496955149287e+02
2022;21;4;Ensino Médio;1;Até 14 Horas;498,061264987984;9,33971887545299e+01
2022;22;4;Ensino Médio;1;Até 14 Horas;1241,478469029337;6,73282442744717e+02
2022;23;4;Ensino Médio;1;Até 14 Horas;639,502622854893;1,60844461771645e+02
2022;24;4;Ensino Médio;1;Até 14 Horas;568,830459103161;9,63544241881608e+01
2022;25;4;Ensino Médio;1;Até 14 Horas;630,378965184407;1,76085576709054e+02
2022;26;4;Ensino Médio;1;Até 14 Horas;566,917408447574;7,91249428518801e+01
2022;27;4;Ensino Médio;1;Até 14 Horas;633,255304352071;1,14207247733292e+02
2022;28;4;Ensino Médio;1;Até 14 Horas;511,465026980711;9,34107213991812e+01
2022;29;4;Ensino Médio;1;Até 14 Horas;612,984988805602;1,38809000785183e+02
2022;31;4;Ensino Médio;1;Até 14 Horas;956,341889472528;1,79530269798481e+02
2022;32;4;Ensino Médio;1;Até 14 Horas;777,032835609418;1,62370195809151e+02
2022;33;4;Ensino Médio;1;Até 14 Horas;810,121707019188;8,82483074804009e+01
2022;35;4;Ensino Médio;1;Até 14 Horas;1120,665432629520;1,93563132344036e+02
2022;41;4;Ensino Médio;1;Até 14 Horas;1072,186203068226;1,42824855939158e+02
2022;42;4;Ensino Médio;1;Até 14 Horas;1600,516319229990;3,24672075381223e+02
2022;43;4;Ensino Médio;1;Até 14 Horas;1057,310429174148;1,50167214325972e+02
2022;50;4;Ensino Médio;1;Até 14 Horas;901,219794366014;1,61950623548896e+02
2022;51;4;Ensino Médio;1;Até 14 Horas;1933,665751187707;8,94524255052804e+02
2022;52;4;Ensino Médio;1;Até 14 Horas;1346,735808721017;3,17782035945092e+02
2022;53;4;Ensino Médio;1;Até 14 Horas;1264,902629612110;2,39467703276064e+02
2022;11;5;Ensino Médio;1;Até 14 Horas;1825,798620389603;2,76033262442782e+02
2022;12;5;Ensino Médio;1;Até 14 Horas;1264,814916901746;1,89211482912395e+02
2022;13;5;Ensino Médio;1;Até 14 Horas;904,209780207736;1,04332930350169e+02
2022;14;5;Ensino Médio;1;Até 14 Horas;870,220822288759;1,48064685480740e+02
2022;15;5;Ensino Médio;1;Até 14 Horas;1044,766040197394;1,06851592642760e+02
2022;16;5;Ensino Médio;1;Até 14 Horas;1088,610354124410;1,37066963853275e+02
2022;17;5;Ensino Médio;1;Até 14 Horas;1205,550419966174;1,83501541355879e+02
2022;21;5;Ensino Médio;1;Até 14 Horas;850,065450635474;9,95020049645455e+01
2022;22;5;Ensino Médio;1;Até 14 Horas;883,328555693692;1,32962940738408e+02
2022;23;5;Ensino Médio;1;Até 14 Horas;910,936269885667;1,00694157716606e+02
2022;24;5;Ensino Médio;1;Até 14 Horas;986,675959262250;9,34318908886058e+01
2022;25;5;Ensino Médio;1;Até 14 Horas;1020,605612797363;1,15546361001804e+02
2022;26;5;Ensino Médio;1;Até 14 Horas;741,823029624567;8,10116041873799e+01
2022;27;5;Ensino Médio;1;Até 14 Horas;879,809098798891;9,10158194452648e+01
2022;28;5;Ensino Médio;1;Até 14 Horas;1294,475577081001;3,06052264675367e+02
2022;29;5;Ensino Médio;1;Até 14 Horas;989,059675559737;1,20467314986621e+02
2022;31;5;Ensino Médio;1;Até 14 Horas;1367,769715509507;9,57230242161414e+01
2022;32;5;Ensino Médio;1;Até 14 Horas;1227,906365486036;1,11026907555039e+02
2022;33;5;Ensino Médio;1;Até 14 Horas;1890,009250338514;3,45825918309268e+02
2022;35;5;Ensino Médio;1;Até 14 Horas;1560,715663780727;9,82455346472985e+01
2022;41;5;Ensino Médio;1;Até 14 Horas;1709,338818386681;9,92030188768573e+01
2022;42;5;Ensino Médio;1;Até 14 Horas;2194,936494868024;2,02527645856316e+02
