ano;UF;escolaridade;escolaridade_adj;renda_bruta_1_Até 14 Horas;renda_bruta_2_15 até 39 Horas;renda_bruta_3_40 até 44 Horas;renda_bruta_4_44 até 48 Horas;renda_bruta_5_49 Horas +;se_1_Até 14 Horas;se_2_15 até 39 Horas;se_3_40 até 44 Horas;se_4_44 até 48 Horas;se_5_49 Horas +
2024;12;2;Ensino Fundamental;490,252243533976;954,063855479281;1612,024624921286;2557,067511643465;3259,486683194780;2,25789549968426e+02;64,1709434850315;75,4656004871933;4,50067725830771e+02;8,40991688990051e+02
2024;13;2;Ensino Fundamental;454,132358347195;828,201844508566;1372,407289211260;1648,144709937503;1543,596302267695;9,68691597252152e+01;40,7201116153743;56,6978249916642;1,25461439487712e+02;2,36552725846064e+02
2024;14;2;Ensino Fundamental;548,012046211157;1940,473975522980;1596,608060875505;2111,863256213822;2183,250522216849;1,89559159940700e+02;720,1278637498109;78,5298264653613;3,41037430372773e+02;3,30703232730038e+02
2024;15;2;Ensino Fundamental;445,778344620879;923,848194708959;1527,690332621662;1820,888107998152;1837,509019949139;6,13209155803617e+01;43,6639431357118;65,2038562041684;1,52808235375913e+02;1,89522514985354e+02
2024;16;2;Ensino Fundamental;261,617240413467;1017,854303367654;1695,832059674038;1904,032009237209;1613,205801829647;9,21771676422850e+01;84,7145374548500;145,2410856347200;2,41677509348412e+02;2,55563919484324e+02
2024;17;2;Ensino Fundamental;691,395577242984;1067,754210591691;1999,341066494604;3030,595050282458;3290,528614913723;1,63185040755020e+02;155,1959891207194;147,0953517894908;5,32444606472414e+02;9,88045890528338e+02
2024;21;2;Ensino Fundamental;572,906702857316;727,058279241702;1574,977226186562;1510,816361236029;1742,690517659232;1,11741775507874e+02;30,4772835547501;252,2382253545435;1,86170373014263e+02;2,10261722719281e+02
2024;22;2;Ensino Fundamental;255,850490238611;800,799388412561;1394,524901383225;1396,573882955602;1538,785255286751;2,49728158383511e+01;80,7530905226917;66,1121673553588;9,20571479126895e+01;1,47233737641387e+02
2024;23;2;Ensino Fundamental;485,710752618762;686,393949364915;1266,648492939273;1460,160574324692;1447,721294568127;9,14258232974420e+01;38,1785725866008;30,2160726595795;9,89719999534287e+01;1,00972077824500e+02
2024;24;2;Ensino Fundamental;551,063552586628;799,813329643223;1437,499526594292;1541,619851740638;1571,652069209464;1,29480082072500e+02;56,5629496189227;84,5185207534643;1,21770600013310e+02;1,43204768644171e+02
2024;25;2;Ensino Fundamental;425,999145953870;775,130876258670;1302,326779907427;1392,216203058758;1520,482725944391;5,77575224127383e+01;37,8525391850100;39,6230363428951;9,18013455140242e+01;1,24527459772356e+02
2024;26;2;Ensino Fundamental;445,560972717197;820,550859633792;1378,634826171804;1513,544978811545;1713,711606757136;7,19487553763567e+01;43,5560084479567;49,5884047592491;1,04800268931640e+02;1,68370485903329e+02
2024;27;2;Ensino Fundamental;653,692222571845;1004,774452261628;1513,704267320339;1815,368128978147;1856,246377088224;1,14109966015033e+02;120,6338106621962;56,5340746723496;3,30157549684477e+02;3,66546695234766e+02
2024;28;2;Ensino Fundamental;351,241605464567;850,642090322496;1642,904559459725;1347,751205273093;1559,441350649931;3,76406965688736e+01;46,3963076221159;116,5068855965587;1,02518853062510e+02;1,39852627128770e+02
2024;29;2;Ensino Fundamental;377,915740652552;891,472780944552;1425,899134123690;1817,415972955707;1536,102414615863;4,64301646381689e+01;68,2673976820461;57,9934951364606;1,98076683110604e+02;1,70277115083156e+02
2024;31;2;Ensino Fundamental;592,654874085521;1182,495624888225;2033,014174237184;2030,606128135919;2366,032613474460;7,06174986288943e+01;41,0349018841845;38,5380168445477;9,59874792058778e+01;1,14508470765653e+02
2024;32;2;Ensino Fundamental;603,805032713704;1297,335183857052;1901,658254794135;2143,692414049979;2479,574882058319;9,80840239016332e+01;96,8597691826676;48,6942971652237;1,63756619568898e+02;1,80650583230493e+02
2024;33;2;Ensino Fundamental;909,850844483037;1249,583429477927;1827,082494338406;1828,844609914211;1951,428053966014;2,34688440561616e+02;61,5249373959391;52,6015705934405;6,03966079897796e+01;9,73612947400114e+01
2024;35;2;Ensino Fundamental;795,348833417590;1538,072521329580;2233,893282635788;2260,741883140654;3395,963708948366;1,04131119786220e+02;129,2363776104544;63,5054574428086;1,00784194680130e+02;6,31492506425793e+02
2024;41;2;Ensino Fundamental;586,524373227336;1629,851336361028;2255,022643581789;2547,416547348439;3014,960147439258;7,01341304065447e+01;212,5586743527732;52,8108309054409;1,23006024719736e+02;2,43976653387248e+02
