UF;escolaridade;horas_trabalhadas;renda_bruta;se;escolaridade_adj;faixa_horas_trabalhadas;ano
11;1;1;1870,374348195704;8,43370280375014e+02;Sem Instrução Formal;Até 14 Horas;2022
12;1;1;849,346551499379;3,76942687844696e+02;Sem Instrução Formal;Até 14 Horas;2022
13;1;1;462,724585531816;2,60338690506483e+02;Sem Instrução Formal;Até 14 Horas;2022
15;1;1;647,930499849882;2,42581017178445e+02;Sem Instrução Formal;Até 14 Horas;2022
16;1;1;613,758782897337;2,88864052478246e+02;Sem Instrução Formal;Até 14 Horas;2022
17;1;1;419,558309505197;9,35907537880096e+01;Sem Instrução Formal;Até 14 Horas;2022
21;1;1;264,519430545655;4,78769553797101e+01;Sem Instrução Formal;Até 14 Horas;2022
22;1;1;241,242251778076;3,56121505865181e+01;Sem Instrução Formal;Até 14 Horas;2022
23;1;1;278,302724770856;5,02534091700531e+01;Sem Instrução Formal;Até 14 Horas;2022
24;1;1;460,414885552245;1,17998792888791e+02;Sem Instrução Formal;Até 14 Horas;2022
25;1;1;202,234526636530;2,76097890668211e+01;Sem Instrução Formal;Até 14 Horas;2022
26;1;1;352,338843530913;7,32585902834811e+01;Sem Instrução Formal;Até 14 Horas;2022
27;1;1;307,399867091868;9,24808663904205e+01;Sem Instrução Formal;Até 14 Horas;2022
28;1;1;310,992617096781;5,18987761943946e+01;Sem Instrução Formal;Até 14 Horas;2022
29;1;1;358,562571357893;9,75317178192532e+01;Sem Instrução Formal;Até 14 Horas;2022
31;1;1;655,351716029910;3,81986419765328e+02;Sem Instrução Formal;Até 14 Horas;2022
32;1;1;664,549332644517;1,71015154634391e+02;Sem Instrução Formal;Até 14 Horas;2022
33;1;1;830,940137235221;1,50611139970590e+02;Sem Instrução Formal;Até 14 Horas;2022
35;1;1;347,906408730183;1,35615575012526e+02;Sem Instrução Formal;Até 14 Horas;2022
41;1;1;1137,222487846564;4,73706449174562e+02;Sem Instrução Formal;Até 14 Horas;2022
42;1;1;378,376685615351;1,27737912572225e+02;Sem Instrução Formal;Até 14 Horas;2022
43;1;1;553,533547070437;2,07416563808541e+02;Sem Instrução Formal;Até 14 Horas;2022
50;1;1;273,204804157453;6,90653819937472e+01;Sem Instrução Formal;Até 14 Horas;2022
51;1;1;549,780919612277;2,62363473429445e+02;Sem Instrução Formal;Até 14 Horas;2022
52;1;1;398,050848790180;3,81923707033790e+02;Sem Instrução Formal;Até 14 Horas;2022
53;1;1;999,558119952162;4,35029087174666e+02;Sem Instrução Formal;Até 14 Horas;2022
11;2;1;1466,427926508245;2,80795568298939e+02;Ensino Fundamental;Até 14 Horas;2022
12;2;1;1481,635639306176;4,89323838831407e+02;Ensino Fundamental;Até 14 Horas;2022
13;2;1;597,739772546185;2,91060867902533e+02;Ensino Fundamental;Até 14 Horas;2022
14;2;1;1083,717425898528;5,76313613129881e+02;Ensino Fundamental;Até 14 Horas;2022
15;2;1;462,129467770678;5,95484150725367e+01;Ensino Fundamental;Até 14 Horas;2022
16;2;1;704,014494077464;6,01621333169070e+02;Ensino Fundamental;Até 14 Horas;2022
17;2;1;555,210705267085;9,48021966446928e+01;Ensino Fundamental;Até 14 Horas;2022
21;2;1;399,956345491984;5,40733369787529e+01;Ensino Fundamental;Até 14 Horas;2022
22;2;1;233,970496550010;2,37873755218177e+01;Ensino Fundamental;Até 14 Horas;2022
23;2;1;395,610781381911;8,37445980624819e+01;Ensino Fundamental;Até 14 Horas;2022
24;2;1;311,135173215350;3,94613856229964e+01;Ensino Fundamental;Até 14 Horas;2022
25;2;1;267,979565304679;3,07848181599843e+01;Ensino Fundamental;Até 14 Horas;2022
26;2;1;379,568658428069;4,48864933892519e+01;Ensino Fundamental;Até 14 Horas;2022
27;2;1;491,281744306484;1,46354449431027e+02;Ensino Fundamental;Até 14 Horas;2022
28;2;1;313,038687937180;3,46616508531867e+01;Ensino Fundamental;Até 14 Horas;2022
29;2;1;343,364399594009;3,13494769625728e+01;Ensino Fundamental;Até 14 Horas;2022
31;2;1;504,344036620268;4,83206378585674e+01;Ensino Fundamental;Até 14 Horas;2022
32;2;1;676,742167082339;1,75266681768303e+02;Ensino Fundamental;Até 14 Horas;2022
33;2;1;560,480918841007;7,32608050645183e+01;Ensino Fundamental;Até 14 Horas;2022
35;2;1;752,193911318492;1,14735582865944e+02;Ensino Fundamental;Até 14 Horas;2022
41;2;1;787,341951519016;1,45431891963188e+02;Ensino Fundamental;Até 14 Horas;2022
42;2;1;996,888553011379;1,67386218726882e+02;Ensino Fundamental;Até 14 Horas;2022
43;2;1;964,972733044605;2,19631736422616e+02;Ensino Fundamental;Até 14 Horas;2022
50;2;1;868,644131719197;2,27896719075875e+02;Ensino Fundamental;Até 14 Horas;2022
51;2;1;816,730611789527;1,47588967959502e+02;Ensino Fundamental;Até 14 Horas;2022
