ano;UF;escolaridade;escolaridade_adj;horas_trabalhadas;faixa_horas_trabalhadas;renda_bruta;se
2024;27;3;Ensino Fundamental;1;Até 14 Horas;438,436270421405;8,11375839065282e+01
2024;28;3;Ensino Fundamental;1;Até 14 Horas;549,708716563361;1,25102468871706e+02
2024;29;3;Ensino Fundamental;1;Até 14 Horas;586,210507304277;1,07775986810950e+02
2024;31;3;Ensino Fundamental;1;Até 14 Horas;822,635945091683;1,54454455111723e+02
2024;32;3;Ensino Fundamental;1;Até 14 Horas;486,296972218485;6,12156955848802e+01
2024;33;3;Ensino Fundamental;1;Até 14 Horas;879,746267651021;2,81933214153433e+02
2024;35;3;Ensino Fundamental;1;Até 14 Horas;781,346438817828;7,87661729417460e+01
2024;41;3;Ensino Fundamental;1;Até 14 Horas;798,985067214771;1,04966541665310e+02
2024;42;3;Ensino Fundamental;1;Até 14 Horas;946,980380512703;1,69945133970044e+02
2024;43;3;Ensino Fundamental;1;Até 14 Horas;866,726894580557;1,55527328215841e+02
2024;50;3;Ensino Fundamental;1;Até 14 Horas;921,373663774986;1,84340915741431e+02
2024;51;3;Ensino Fundamental;1;Até 14 Horas;647,377293523834;2,07731994546306e+02
2024;52;3;Ensino Fundamental;1;Até 14 Horas;377,901593233015;1,19523372492736e+02
2024;53;3;Ensino Fundamental;1;Até 14 Horas;886,056680555614;2,56917520291315e+02
2024;11;4;Ensino Médio;1;Até 14 Horas;859,554504060115;4,94367765233518e+02
2024;12;4;Ensino Médio;1;Até 14 Horas;866,534445629967;3,20942946014203e+02
2024;13;4;Ensino Médio;1;Até 14 Horas;298,919275515747;5,82736257713994e+01
2024;14;4;Ensino Médio;1;Até 14 Horas;906,648822615818;2,84871646456413e+02
2024;15;4;Ensino Médio;1;Até 14 Horas;1206,369301024518;5,87044575282752e+02
2024;16;4;Ensino Médio;1;Até 14 Horas;250,000000000000;9,87027556516124e-15
2024;17;4;Ensino Médio;1;Até 14 Horas;625,956520057554;2,78033637068299e+02
2024;21;4;Ensino Médio;1;Até 14 Horas;398,919705652966;8,93442862424526e+01
2024;22;4;Ensino Médio;1;Até 14 Horas;549,922065877563;1,29565723006653e+02
2024;23;4;Ensino Médio;1;Até 14 Horas;323,506352150134;5,90789616117437e+01
2024;24;4;Ensino Médio;1;Até 14 Horas;1252,684363335113;7,89823883222683e+02
2024;25;4;Ensino Médio;1;Até 14 Horas;388,298607375677;1,11163575453763e+02
2024;26;4;Ensino Médio;1;Até 14 Horas;304,378242315531;5,23663654875774e+01
2024;27;4;Ensino Médio;1;Até 14 Horas;355,004429428594;6,64981340861012e+01
2024;28;4;Ensino Médio;1;Até 14 Horas;517,668630704275;7,33607923591750e+01
2024;29;4;Ensino Médio;1;Até 14 Horas;307,870716833181;6,34859242573892e+01
2024;31;4;Ensino Médio;1;Até 14 Horas;607,457355655371;8,48458422326505e+01
2024;32;4;Ensino Médio;1;Até 14 Horas;595,797414711575;1,44853764270016e+02
2024;33;4;Ensino Médio;1;Até 14 Horas;630,393925697206;8,89175505121480e+01
